Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_24,Signal
2026-04-15 18:00:00+00:00,74140.640625,74428.2890625,74086.046875,74414.40625,0,0.0,0.0,,0
2026-04-15 19:00:00+00:00,74414.40625,75303.75,74395.0078125,75065.578125,160878592,0.0,0.0,,0
2026-04-15 20:00:00+00:00,75053.0,75060.7578125,74545.0,74872.140625,200192000,0.0,0.0,,0
2026-04-15 21:00:00+00:00,74851.2734375,74888.8671875,74572.078125,74765.3671875,0,0.0,0.0,,0
2026-04-15 22:00:00+00:00,74772.2890625,75412.0,74763.8984375,74983.78125,0,0.0,0.0,,0
2026-04-15 23:00:00+00:00,74980.9765625,74980.9765625,74639.78125,74836.359375,0,0.0,0.0,,0
2026-04-16 00:00:00+00:00,74845.609375,74899.1484375,74508.46875,74820.2421875,0,0.0,0.0,,0
2026-04-16 01:00:00+00:00,74835.3203125,74835.3203125,74488.109375,74681.8671875,0,0.0,0.0,,0
2026-04-16 02:00:00+00:00,74681.4609375,75288.3515625,74614.3828125,74902.71875,382001152,0.0,0.0,,0
2026-04-16 03:00:00+00:00,74887.921875,75177.0,74879.1484375,74904.25,2016497664,0.0,0.0,,0
2026-04-16 04:00:00+00:00,74902.2578125,75186.453125,74749.5625,74964.6484375,0,0.0,0.0,,0
2026-04-16 05:00:00+00:00,74949.96875,75158.6328125,74914.5625,75058.0234375,217673728,0.0,0.0,,0
2026-04-16 06:00:00+00:00,75076.8515625,75130.4375,74877.2421875,75048.65625,98119680,0.0,0.0,,0
2026-04-16 07:00:00+00:00,75028.921875,75100.0,74662.34375,74721.5390625,0,0.0,0.0,,0
2026-04-16 08:00:00+00:00,74721.546875,74764.78125,74535.4296875,74697.7109375,804335616,0.0,0.0,,0
2026-04-16 09:00:00+00:00,74679.25,74927.828125,74611.796875,74612.671875,0,0.0,0.0,,0
2026-04-16 10:00:00+00:00,74611.8828125,74670.828125,74288.5,74323.9921875,0,0.0,0.0,,0
2026-04-16 11:00:00+00:00,74327.9921875,74601.65625,74300.0078125,74593.328125,396546048,0.0,0.0,,0
2026-04-16 12:00:00+00:00,74593.328125,74868.453125,74593.328125,74637.640625,0,0.0,0.0,,0
2026-04-16 13:00:00+00:00,74628.7890625,75026.2734375,73328.0,73792.1796875,937250816,0.0,0.0,,0
2026-04-16 14:00:00+00:00,73782.1875,74198.5078125,73425.8515625,73973.203125,372477952,0.0,0.0,,0
2026-04-16 15:00:00+00:00,73969.7421875,74884.0078125,73941.9921875,74719.9921875,1685315584,0.0,0.0,,0
2026-04-16 16:00:00+00:00,74746.0234375,74956.4296875,74079.96875,74186.03125,538931200,0.0,0.0,,0
2026-04-16 17:00:00+00:00,74167.890625,74459.40625,73917.140625,74346.0,130420736,0.0,0.0,74663.43033854167,0
2026-04-16 18:00:00+00:00,74354.03125,75092.3125,74250.09375,75054.4375,0,0.0,0.0,74690.09830729167,1
2026-04-16 19:00:00+00:00,75102.0,75429.609375,74770.8203125,75371.9765625,964886528,0.0,0.0,74702.86490885417,1
2026-04-16 20:00:00+00:00,75384.9375,75539.90625,75020.96875,75245.9921875,128495616,0.0,0.0,74718.44205729167,1
2026-04-16 21:00:00+00:00,75252.2109375,75300.0,74827.8125,74956.9765625,121356288,0.0,0.0,74726.42578125,1
2026-04-16 22:00:00+00:00,74966.2578125,75139.453125,74853.75,74888.609375,0,0.0,0.0,74722.46028645833,1
2026-04-16 23:00:00+00:00,74866.40625,75198.4609375,74847.96875,75163.09375,0,0.0,0.0,74736.07421875,1
2026-04-17 00:00:00+00:00,75156.7421875,75179.8515625,74905.90625,74955.9921875,0,0.0,0.0,74741.73046875,1
2026-04-17 01:00:00+00:00,74960.6171875,75061.3515625,74594.4765625,74763.890625,51539968,0.0,0.0,74745.14811197917,1
2026-04-17 02:00:00+00:00,74759.859375,74830.8984375,74562.671875,74728.546875,0,0.0,0.0,74737.89095052083,0
2026-04-17 03:00:00+00:00,74729.953125,74860.109375,74623.71875,74633.1484375,0,0.0,0.0,74726.59505208333,0
2026-04-17 04:00:00+00:00,74641.109375,74867.9375,74603.9921875,74810.0078125,0,0.0,0.0,74720.15169270833,1
2026-04-17 05:00:00+00:00,74810.0,74823.109375,74575.0,74656.5625,0,0.0,0.0,74703.42415364583,0
2026-04-17 06:00:00+00:00,74645.0234375,74964.25,74614.46875,74964.25,0,0.0,0.0,74699.9072265625,1
2026-04-17 07:00:00+00:00,74960.9609375,75122.609375,74954.7421875,75085.9921875,61296640,0.0,0.0,74715.0927734375,1
2026-04-17 08:00:00+00:00,75095.40625,75890.671875,75015.359375,75787.4921875,619696128,0.0,0.0,74760.50032552083,1
2026-04-17 09:00:00+00:00,75803.578125,76386.671875,75550.1015625,75811.4375,2566205440,0.0,0.0,74810.44889322917,1
2026-04-17 10:00:00+00:00,75811.453125,75909.7890625,75124.2265625,75303.2421875,1024786432,0.0,0.0,74851.2509765625,1
2026-04-17 11:00:00+00:00,75292.5078125,75631.84375,75273.75,75622.578125,0,0.0,0.0,74894.13639322917,1
2026-04-17 12:00:00+00:00,75661.359375,76297.9609375,75567.9921875,76296.0234375,779100160,0.0,0.0,74963.23567708333,1
2026-04-17 13:00:00+00:00,76270.21875,77456.0625,76101.84375,77385.9921875,5033406464,0.0,0.0,75112.97786458333,1
